Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/1.jpg,1,FL-10 T8 DL,FL Tube BRITANIA T8 10W,DL,30cm,LigAcc:Lam: Fluorescent,MARHABA LIGHTING EQUIPMENT TRADING (L.L.C,Pcs,0,1,3,"Fluorescent Tube BRITANIA 10W Day Light T8 1' 30cm 25pcs/box 
Location = 1B01"
img/2.jpg,2,SF 23092A,Motor Fan SUNON Medium BK,Black,95mm,Fan: Others,System,Pcs,3,0,0,"Motor Fan Sunon 95mm Medium size
 Location = G/4G04"
img/3.jpg,3,S-TT-1G,Switch Tik Tok Without Wire,WH+PU,1Way,Swi&Soc: Switch,System,Pcs,134,0,0,"Switch Tik Tok Without Wire White & Purple Color.
 Location = G/4K06"
img/5.jpg,5,MMA-7196-WH,Socket Multi MAAT 13A PVC,White,3Pin,Swi&Soc: Socket,MEMON ELECTRICALS TRADING L.L.C,Pcs,149,3,9,"Multi Socket ( Plug ) (MAAT 13A PVS Multi Pin -10Pcs/Box/White) (Relite 13Amp PVC 3pin - 12pcs/box White)
 Location = G/4G05"
img/6.jpg,6,2183-3Pin-E27-WH,3Pin Plug With E27 Holder PVC,White,3Pin - E27,Swi&Soc: Socket,TERSEN TRADING CO. (L.L.C),Pcs,0,1.4,5,"3Pin Plug With E27 Holder + Switch. 13A 240V White Color.
 Location= 1B02"
img/7.jpg,7,1328-13A-PVC-WH,Socket Multi With Fuse TERSEN,White,3Pin,Swi&Soc: Socket,TERSEN TRADING CO. (L.L.C),Pcs,158,5,15,"Universel Multi Socket Tersen ( Plug ) With Fuse 13A. 3Pin 250V White Color
 Location = G/4L06"
img/8.jpg,8,E27-Ring-WH,E27 Holder Ring Only PVC WH,White,E27,LigAcc: Holder,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,0.4,2,"E27 Holder Ring Only PVC White Color.
 Location = G/1A03"
img/9.jpg,9,MDL DC 101,Car Work Light FL 12V DC,Black,,LigFix:Out: Others,System,Pcs,0,5,15,"Flurescent Car Work Light 12v DC Back
 Location = G/4L05"
img/10.jpg,10,,Circular Junction Box PP 3Way,White,20mm,Cab: Accessories,System,Pcs,376,0,0,"Circular ( Round ) Junction Box Presto Plast 3way PVC 20mm White - 20pcs/box
 Location = G/4H04"
img/11.jpg,11,2G-11-4Pin-WH,Holder PLC 4Pin 2G-11,White,4Pin,LigAcc: Chandelier Shades,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,2.25,6.75,"PLC Lamp Holder 2G-11 4Pin White Color
 Location = 1A02"
